,utdate,quarter,start,stop,kpfcc,dark
0,2021-02-02,1,05:03,07:49,False,True
1,2021-02-02,2,07:49,10:35,False,False
2,2021-02-02,3,10:35,13:22,False,False
3,2021-02-02,4,13:22,16:08,False,False
4,2021-02-03,1,05:04,07:50,False,True
5,2021-02-03,2,07:50,10:36,False,False
6,2021-02-03,3,10:36,13:21,False,False
7,2021-02-03,4,13:21,16:07,True,False
8,2021-02-04,1,05:04,07:50,False,True
9,2021-02-04,2,07:50,10:36,False,False
10,2021-02-04,3,10:36,13:21,False,False
11,2021-02-04,4,13:21,16:07,True,False
12,2021-02-05,1,05:05,07:50,True,True
13,2021-02-05,2,07:50,10:36,False,True
14,2021-02-05,3,10:36,13:21,False,False
15,2021-02-05,4,13:21,16:07,False,False
16,2021-02-06,1,05:05,07:50,True,True
17,2021-02-06,2,07:50,10:36,False,True
18,2021-02-06,3,10:36,13:21,False,False
19,2021-02-06,4,13:21,16:06,False,False
20,2021-02-07,1,05:06,07:51,False,True
21,2021-02-07,2,07:51,10:36,False,True
22,2021-02-07,3,10:36,13:21,True,True
23,2021-02-07,4,13:21,16:06,True,False
24,2021-02-08,1,05:06,07:51,True,True
25,2021-02-08,2,07:51,10:36,True,True
26,2021-02-08,3,10:36,13:21,False,True
27,2021-02-08,4,13:21,16:06,False,False
28,2021-02-09,1,05:06,07:51,True,True
29,2021-02-09,2,07:51,10:36,True,True
30,2021-02-09,3,10:36,13:21,False,True
31,2021-02-09,4,13:21,16:05,False,False
32,2021-02-10,1,05:07,07:51,False,True
33,2021-02-10,2,07:51,10:36,False,True
34,2021-02-10,3,10:36,13:20,False,True
35,2021-02-10,4,13:20,16:05,False,True
36,2021-02-11,1,05:07,07:52,False,True
37,2021-02-11,2,07:52,10:36,False,True
38,2021-02-11,3,10:36,13:20,False,True
39,2021-02-11,4,13:20,16:05,False,True
40,2021-02-12,1,05:08,07:52,False,True
41,2021-02-12,2,07:52,10:36,False,True
42,2021-02-12,3,10:36,13:20,False,True
43,2021-02-12,4,13:20,16:04,False,True
44,2021-02-13,1,05:08,07:52,True,False
45,2021-02-13,2,07:52,10:36,False,True
46,2021-02-13,3,10:36,13:20,False,True
47,2021-02-13,4,13:20,16:04,False,True
48,2021-02-14,1,05:09,07:52,False,False
49,2021-02-14,2,07:52,10:36,False,True
50,2021-02-14,3,10:36,13:20,True,True
51,2021-02-14,4,13:20,16:03,True,True
52,2021-02-15,1,05:09,07:52,False,False
53,2021-02-15,2,07:52,10:36,False,True
54,2021-02-15,3,10:36,13:19,True,True
55,2021-02-15,4,13:19,16:03,True,True
56,2021-02-16,1,05:09,07:53,False,False
57,2021-02-16,2,07:53,10:36,False,False
58,2021-02-16,3,10:36,13:19,False,True
59,2021-02-16,4,13:19,16:02,True,True
60,2021-02-17,1,05:10,07:53,True,False
61,2021-02-17,2,07:53,10:36,True,False
62,2021-02-17,3,10:36,13:19,False,True
63,2021-02-17,4,13:19,16:02,False,True
64,2021-02-18,1,05:10,07:53,True,False
65,2021-02-18,2,07:53,10:36,False,False
66,2021-02-18,3,10:36,13:18,False,True
67,2021-02-18,4,13:18,16:01,False,True
68,2021-02-19,1,05:11,07:53,True,False
69,2021-02-19,2,07:53,10:36,False,False
70,2021-02-19,3,10:36,13:18,False,True
71,2021-02-19,4,13:18,16:01,False,True
